Name,Category,Dosage Form,Strength,Manufacturer,Indication,Classification
Amoxiphen,Antiseptic,Ointment,209 mg,Novo Nordisk A/S,Fungus,Prescription
Cefmet,Antidepressant,Injection,692 mg,Novo Nordisk A/S,Virus,Over-the-Counter
Metomet,Antidiabetic,Drops,609 mg,Teva Pharmaceutical Industries Ltd.,Fever,Over-the-Counter
Acetomycin,Analgesic,Capsule,469 mg,Novartis AG,Virus,Prescription
Dolonazole,Antidepressant,Syrup,992 mg,Takeda Pharmaceutical Company Limited,Wound,Over-the-Counter
Dolophen,Antidepressant,Tablet,932 mg,Novo Nordisk A/S,Infection,Over-the-Counter
Dolostatin,Antipyretic,Ointment,142 mg,Boehringer Ingelheim GmbH,Wound,Over-the-Counter
Metonazole,Antipyretic,Drops,784 mg,Novartis AG,Pain,Over-the-Counter
Acetophen,Analgesic,Syrup,88 mg,Bristol-Myers Squibb Company,Wound,Prescription
Ibuprophen,Antidepressant,Ointment,44 mg,"Gilead Sciences, Inc.",Infection,Prescription
Ibupromycin,Antidiabetic,Capsule,165 mg,Novartis AG,Diabetes,Prescription
Ibuprophen,Analgesic,Drops,681 mg,Sanofi S.A.,Pain,Over-the-Counter
Acetostatin,Antipyretic,Drops,942 mg,"Merck & Co., Inc.",Fever,Prescription
Dextrostatin,Antiseptic,Capsule,779 mg,Bayer AG,Wound,Over-the-Counter
Ibuprovir,Analgesic,Capsule,625 mg,Novo Nordisk A/S,Diabetes,Prescription
Dextronazole,Antipyretic,Inhaler,826 mg,Roche Holding AG,Wound,Prescription
Clariphen,Antidiabetic,Inhaler,93 mg,Pfizer Inc.,Wound,Over-the-Counter
Clariphen,Antibiotic,Ointment,976 mg,"Gilead Sciences, Inc.",Pain,Over-the-Counter
Acetomycin,Antipyretic,Cream,687 mg,Bayer AG,Virus,Prescription
Dolomet,Antipyretic,Inhaler,141 mg,Sanofi S.A.,Fungus,Over-the-Counter
Claricillin,Antiviral,Inhaler,483 mg,Amgen Inc.,Diabetes,Prescription
Clarivir,Antifungal,Injection,753 mg,Sanofi S.A.,Diabetes,Over-the-Counter
Dextronazole,Antibiotic,Cream,576 mg,AbbVie Inc.,Wound,Prescription
Dextrostatin,Analgesic,Syrup,931 mg,Bayer AG,Diabetes,Over-the-Counter
Ibupromycin,Antiseptic,Injection,369 mg,Eli Lilly and Company,Pain,Prescription
Cefvir,Antiseptic,Inhaler,738 mg,CSL Limited,Fever,Over-the-Counter
Amoxinazole,Antidepressant,Drops,993 mg,"Gilead Sciences, Inc.",Depression,Prescription
Dextrophen,Analgesic,Injection,394 mg,Amgen Inc.,Virus,Over-the-Counter
Cefstatin,Antibiotic,Capsule,194 mg,GlaxoSmithKline plc,Virus,Over-the-Counter
Dolophen,Antifungal,Drops,695 mg,Biogen Inc.,Depression,Over-the-Counter
Cefnazole,Antipyretic,Injection,758 mg,AbbVie Inc.,Depression,Prescription
Amoxiphen,Antifungal,Capsule,212 mg,Bristol-Myers Squibb Company,Fever,Over-the-Counter
Clarimycin,Antipyretic,Cream,560 mg,Eli Lilly and Company,Fever,Over-the-Counter
Metocillin,Antipyretic,Drops,740 mg,Sanofi S.A.,Depression,Over-the-Counter
Cefmet,Antifungal,Cream,516 mg,Bayer AG,Diabetes,Over-the-Counter
Doloprofen,Antiseptic,Capsule,698 mg,Johnson & Johnson,Infection,Prescription
Cefcillin,Antiviral,Capsule,160 mg,Novo Nordisk A/S,Virus,Over-the-Counter
Dextrocillin,Antiviral,Injection,707 mg,Boehringer Ingelheim GmbH,Infection,Prescription
Ibupronazole,Antidiabetic,Cream,132 mg,Johnson & Johnson,Infection,Over-the-Counter
Cefprofen,Antifungal,Inhaler,992 mg,Sanofi S.A.,Wound,Prescription
Amoxistatin,Analgesic,Injection,429 mg,Teva Pharmaceutical Industries Ltd.,Fungus,Over-the-Counter
Dextromycin,Analgesic,Tablet,12 mg,"Merck & Co., Inc.",Fungus,Over-the-Counter
Metoprofen,Antiviral,Syrup,958 mg,Amgen Inc.,Fever,Over-the-Counter
Amoxinazole,Antidiabetic,Inhaler,527 mg,"Gilead Sciences, Inc.",Pain,Prescription
Dextronazole,Antiseptic,Inhaler,656 mg,AbbVie Inc.,Diabetes,Prescription
Acetostatin,Antidiabetic,Syrup,597 mg,"Gilead Sciences, Inc.",Virus,Over-the-Counter
Clarimycin,Antibiotic,Drops,741 mg,Bayer AG,Diabetes,Over-the-Counter
Dextromet,Antifungal,Ointment,52 mg,Pfizer Inc.,Infection,Prescription
Ibuproprofen,Antiseptic,Syrup,123 mg,"Merck & Co., Inc.",Depression,Prescription
Dolostatin,Antiseptic,Capsule,556 mg,Bristol-Myers Squibb Company,Pain,Over-the-Counter
Cefphen,Antiseptic,Drops,874 mg,"Gilead Sciences, Inc.",Wound,Prescription
Metomycin,Antidepressant,Capsule,91 mg,CSL Limited,Pain,Prescription
Cefprofen,Antibiotic,Ointment,873 mg,Bayer AG,Depression,Over-the-Counter
Clarimycin,Antiseptic,Cream,197 mg,Amgen Inc.,Pain,Over-the-Counter
Cefcillin,Antifungal,Cream,698 mg,Biogen Inc.,Fever,Prescription
Metonazole,Antidepressant,Syrup,823 mg,Biogen Inc.,Infection,Prescription
Dolostatin,Analgesic,Injection,638 mg,Novartis AG,Pain,Over-the-Counter
Clarivir,Antidepressant,Cream,84 mg,Bayer AG,Pain,Over-the-Counter
Clarivir,Antidiabetic,Inhaler,894 mg,AbbVie Inc.,Infection,Over-the-Counter
Acetonazole,Antiviral,Injection,521 mg,Pfizer Inc.,Diabetes,Over-the-Counter
Amoxinazole,Antifungal,Inhaler,643 mg,Takeda Pharmaceutical Company Limited,Depression,Prescription
Metocillin,Analgesic,Inhaler,712 mg,AstraZeneca plc,Diabetes,Over-the-Counter
Dolocillin,Antipyretic,Drops,497 mg,GlaxoSmithKline plc,Infection,Over-the-Counter
Dextrovir,Antidiabetic,Ointment,957 mg,AbbVie Inc.,Depression,Over-the-Counter
Dolocillin,Antifungal,Tablet,225 mg,GlaxoSmithKline plc,Fever,Prescription
Acetomet,Analgesic,Drops,52 mg,GlaxoSmithKline plc,Depression,Over-the-Counter
Ibupromycin,Antipyretic,Inhaler,311 mg,CSL Limited,Infection,Over-the-Counter
Amoxicillin,Antidepressant,Injection,406 mg,CSL Limited,Fungus,Prescription
Ibuprophen,Antidepressant,Syrup,421 mg,GlaxoSmithKline plc,Fever,Over-the-Counter
Metomet,Antifungal,Tablet,287 mg,Novo Nordisk A/S,Depression,Prescription
Dextroprofen,Antibiotic,Syrup,803 mg,AstraZeneca plc,Diabetes,Prescription
Acetovir,Antibiotic,Drops,263 mg,GlaxoSmithKline plc,Fungus,Prescription
Dolophen,Analgesic,Syrup,927 mg,Takeda Pharmaceutical Company Limited,Virus,Over-the-Counter
Amoximet,Antipyretic,Tablet,864 mg,GlaxoSmithKline plc,Fungus,Over-the-Counter
Cefnazole,Antidepressant,Injection,604 mg,Biogen Inc.,Fever,Over-the-Counter
Acetostatin,Antidepressant,Injection,694 mg,Sanofi S.A.,Pain,Over-the-Counter
Dextrophen,Antidiabetic,Syrup,115 mg,Teva Pharmaceutical Industries Ltd.,Depression,Prescription
Ibupromycin,Antiviral,Tablet,632 mg,Amgen Inc.,Infection,Over-the-Counter
Dextrostatin,Antiviral,Cream,734 mg,AstraZeneca plc,Depression,Prescription
Dolostatin,Antiviral,Syrup,68 mg,Bayer AG,Infection,Over-the-Counter
Acetomet,Antiviral,Injection,680 mg,"Gilead Sciences, Inc.",Fungus,Prescription
Clariprofen,Antibiotic,Ointment,162 mg,Takeda Pharmaceutical Company Limited,Fungus,Over-the-Counter
Dextromycin,Antiseptic,Drops,719 mg,Pfizer Inc.,Wound,Over-the-Counter
Dolophen,Antipyretic,Capsule,918 mg,Sanofi S.A.,Pain,Over-the-Counter
Ibuprostatin,Antifungal,Syrup,35 mg,Roche Holding AG,Diabetes,Prescription
Cefvir,Antibiotic,Ointment,759 mg,Bristol-Myers Squibb Company,Pain,Over-the-Counter
Ibuprostatin,Analgesic,Inhaler,585 mg,Bayer AG,Virus,Over-the-Counter
Ibuprophen,Antidepressant,Ointment,355 mg,Takeda Pharmaceutical Company Limited,Fever,Prescription
Doloprofen,Analgesic,Inhaler,196 mg,CSL Limited,Fever,Prescription
Doloprofen,Antiseptic,Ointment,677 mg,"Gilead Sciences, Inc.",Depression,Prescription
Doloprofen,Antifungal,Syrup,47 mg,Roche Holding AG,Diabetes,Prescription
Dextromycin,Antiseptic,Capsule,136 mg,Boehringer Ingelheim GmbH,Virus,Prescription
Dextrostatin,Antibiotic,Drops,94 mg,Novartis AG,Infection,Prescription
Clarinazole,Antifungal,Drops,538 mg,Johnson & Johnson,Fungus,Prescription
Cefvir,Antidepressant,Syrup,321 mg,Teva Pharmaceutical Industries Ltd.,Wound,Prescription
Cefmycin,Antifungal,Ointment,448 mg,Pfizer Inc.,Wound,Prescription
Cefvir,Antidepressant,Tablet,765 mg,Takeda Pharmaceutical Company Limited,Virus,Over-the-Counter
Dolonazole,Antiseptic,Inhaler,906 mg,Biogen Inc.,Infection,Prescription
Dextromet,Antiviral,Syrup,550 mg,Amgen Inc.,Wound,Prescription
Clarimet,Antiseptic,Ointment,638 mg,Biogen Inc.,Wound,Over-the-Counter
Claristatin,Antiviral,Cream,152 mg,Sanofi S.A.,Diabetes,Prescription
Dolomet,Antiseptic,Inhaler,396 mg,"Merck & Co., Inc.",Fever,Prescription
Claricillin,Antiseptic,Capsule,78 mg,AstraZeneca plc,Fever,Over-the-Counter
Cefmet,Antiviral,Cream,51 mg,Novo Nordisk A/S,Virus,Prescription
Dextroprofen,Antifungal,Injection,601 mg,Pfizer Inc.,Wound,Over-the-Counter
Dextromet,Antidepressant,Drops,400 mg,Novartis AG,Fever,Prescription
Ibuprostatin,Antiviral,Drops,488 mg,Novartis AG,Infection,Over-the-Counter
Claricillin,Antipyretic,Capsule,82 mg,Amgen Inc.,Fungus,Over-the-Counter
Dolomet,Antiseptic,Syrup,316 mg,AbbVie Inc.,Depression,Prescription
Cefmet,Antiviral,Injection,907 mg,Bristol-Myers Squibb Company,Virus,Over-the-Counter
Amoxinazole,Antiseptic,Ointment,101 mg,Eli Lilly and Company,Diabetes,Over-the-Counter
Dolostatin,Antifungal,Syrup,237 mg,CSL Limited,Diabetes,Over-the-Counter
Amoxistatin,Analgesic,Drops,999 mg,Boehringer Ingelheim GmbH,Depression,Prescription
Dextroprofen,Antidepressant,Inhaler,171 mg,Novartis AG,Depression,Over-the-Counter
Clarinazole,Antipyretic,Capsule,15 mg,Eli Lilly and Company,Wound,Prescription
Ibuproprofen,Antiviral,Cream,511 mg,Bristol-Myers Squibb Company,Fever,Prescription
Dolomycin,Antiviral,Syrup,318 mg,Boehringer Ingelheim GmbH,Virus,Prescription
Metostatin,Antidepressant,Capsule,681 mg,Boehringer Ingelheim GmbH,Fungus,Over-the-Counter
Acetoprofen,Antifungal,Injection,783 mg,Teva Pharmaceutical Industries Ltd.,Pain,Over-the-Counter
Acetomycin,Analgesic,Ointment,181 mg,Bristol-Myers Squibb Company,Wound,Prescription
Acetovir,Antiseptic,Cream,789 mg,Roche Holding AG,Diabetes,Over-the-Counter
Clarinazole,Antipyretic,Drops,204 mg,Pfizer Inc.,Diabetes,Over-the-Counter
Ibuprostatin,Antipyretic,Drops,107 mg,Novartis AG,Fungus,Over-the-Counter
Cefmycin,Antiviral,Cream,964 mg,Sanofi S.A.,Wound,Prescription
Dolomet,Analgesic,Injection,249 mg,Pfizer Inc.,Pain,Over-the-Counter
Amoximet,Antipyretic,Inhaler,979 mg,CSL Limited,Depression,Over-the-Counter
Amoxivir,Analgesic,Inhaler,498 mg,Pfizer Inc.,Infection,Over-the-Counter
Dextroprofen,Antifungal,Syrup,72 mg,Bristol-Myers Squibb Company,Virus,Prescription
Acetophen,Antiseptic,Drops,627 mg,GlaxoSmithKline plc,Fever,Prescription
Acetoprofen,Antifungal,Syrup,787 mg,Bayer AG,Wound,Over-the-Counter
Clarinazole,Antipyretic,Ointment,482 mg,Eli Lilly and Company,Fever,Over-the-Counter
Claristatin,Antibiotic,Inhaler,772 mg,AbbVie Inc.,Wound,Over-the-Counter
Ibupronazole,Antibiotic,Syrup,369 mg,"Merck & Co., Inc.",Fever,Over-the-Counter
Acetomycin,Antiviral,Inhaler,667 mg,Boehringer Ingelheim GmbH,Diabetes,Prescription
Acetoprofen,Antifungal,Cream,135 mg,"Gilead Sciences, Inc.",Fungus,Over-the-Counter
Dextroprofen,Antidepressant,Tablet,574 mg,Pfizer Inc.,Fungus,Prescription
Dextrovir,Antiseptic,Capsule,147 mg,Johnson & Johnson,Fever,Prescription
Ibuprovir,Antidiabetic,Drops,216 mg,Biogen Inc.,Wound,Prescription
Clariprofen,Antiviral,Inhaler,603 mg,"Merck & Co., Inc.",Infection,Prescription
Dolomet,Analgesic,Drops,160 mg,Roche Holding AG,Diabetes,Prescription
Dextroprofen,Antidiabetic,Injection,587 mg,Teva Pharmaceutical Industries Ltd.,Depression,Over-the-Counter
Cefnazole,Antipyretic,Tablet,153 mg,"Merck & Co., Inc.",Fever,Over-the-Counter
Amoxiphen,Antidiabetic,Drops,368 mg,Eli Lilly and Company,Diabetes,Over-the-Counter
Metomet,Antidiabetic,Injection,696 mg,Pfizer Inc.,Depression,Over-the-Counter
Dolonazole,Antiseptic,Inhaler,261 mg,Novartis AG,Fever,Over-the-Counter
Amoxiphen,Antidepressant,Syrup,218 mg,GlaxoSmithKline plc,Pain,Prescription
Metovir,Antiseptic,Cream,268 mg,Bayer AG,Depression,Prescription
Ibuproprofen,Antiviral,Drops,845 mg,Novartis AG,Pain,Over-the-Counter
Dolostatin,Antidiabetic,Drops,133 mg,CSL Limited,Infection,Over-the-Counter
Dextrovir,Antidiabetic,Inhaler,460 mg,"Merck & Co., Inc.",Wound,Prescription
Cefprofen,Antiseptic,Injection,573 mg,CSL Limited,Infection,Prescription
Dextronazole,Analgesic,Tablet,562 mg,Pfizer Inc.,Infection,Over-the-Counter
Clarinazole,Antidepressant,Tablet,208 mg,AstraZeneca plc,Fungus,Prescription
Amoximet,Analgesic,Drops,119 mg,Biogen Inc.,Depression,Over-the-Counter
Amoxistatin,Analgesic,Drops,222 mg,Amgen Inc.,Infection,Over-the-Counter
Doloprofen,Antidiabetic,Syrup,18 mg,"Gilead Sciences, Inc.",Pain,Prescription
Metovir,Antidepressant,Cream,442 mg,Boehringer Ingelheim GmbH,Infection,Prescription
Dolostatin,Antipyretic,Drops,598 mg,Eli Lilly and Company,Diabetes,Over-the-Counter
Acetophen,Antiviral,Drops,116 mg,Bristol-Myers Squibb Company,Fever,Prescription
Dextromet,Antifungal,Inhaler,557 mg,Pfizer Inc.,Fever,Prescription
Cefstatin,Antiseptic,Injection,687 mg,Biogen Inc.,Virus,Over-the-Counter
Metonazole,Antifungal,Injection,147 mg,AbbVie Inc.,Fungus,Prescription
Cefvir,Antiseptic,Cream,749 mg,Novartis AG,Infection,Prescription
Dextromycin,Antipyretic,Drops,774 mg,AbbVie Inc.,Depression,Over-the-Counter
Dextromet,Antibiotic,Syrup,508 mg,Pfizer Inc.,Wound,Prescription
Ibuprovir,Analgesic,Tablet,358 mg,Bayer AG,Pain,Prescription
Claristatin,Antipyretic,Capsule,281 mg,Biogen Inc.,Virus,Over-the-Counter
Ibupromycin,Antibiotic,Inhaler,605 mg,Biogen Inc.,Infection,Prescription
Amoxinazole,Analgesic,Drops,211 mg,Takeda Pharmaceutical Company Limited,Diabetes,Over-the-Counter
Clarimycin,Antipyretic,Cream,77 mg,Roche Holding AG,Wound,Over-the-Counter
Dolophen,Antiviral,Drops,185 mg,Sanofi S.A.,Virus,Over-the-Counter
Metonazole,Antifungal,Drops,167 mg,Pfizer Inc.,Wound,Prescription
Cefmet,Antibiotic,Tablet,368 mg,CSL Limited,Fever,Over-the-Counter
Cefmet,Antidiabetic,Cream,353 mg,Boehringer Ingelheim GmbH,Diabetes,Prescription
Ibuprovir,Antiviral,Ointment,36 mg,Novo Nordisk A/S,Fever,Over-the-Counter
Amoximet,Antiviral,Cream,371 mg,Bristol-Myers Squibb Company,Wound,Over-the-Counter
Cefvir,Analgesic,Capsule,862 mg,GlaxoSmithKline plc,Diabetes,Prescription
Dextrophen,Antiviral,Syrup,668 mg,AstraZeneca plc,Depression,Prescription
Dextronazole,Antifungal,Drops,348 mg,Teva Pharmaceutical Industries Ltd.,Depression,Prescription
Dextroprofen,Antidepressant,Ointment,156 mg,Takeda Pharmaceutical Company Limited,Virus,Over-the-Counter
Dextrovir,Antidiabetic,Injection,351 mg,AbbVie Inc.,Pain,Prescription
Cefcillin,Antiseptic,Drops,590 mg,AstraZeneca plc,Fever,Over-the-Counter
Amoxiphen,Antiviral,Inhaler,757 mg,AstraZeneca plc,Wound,Prescription
Amoxinazole,Antiseptic,Inhaler,399 mg,Sanofi S.A.,Diabetes,Over-the-Counter
Dextromycin,Antidepressant,Inhaler,232 mg,Roche Holding AG,Wound,Prescription
Ibupromet,Antifungal,Syrup,21 mg,AbbVie Inc.,Fever,Prescription
Cefmycin,Antibiotic,Syrup,644 mg,AstraZeneca plc,Fungus,Prescription
Dolostatin,Antibiotic,Drops,344 mg,GlaxoSmithKline plc,Depression,Over-the-Counter
Dextroprofen,Antiviral,Syrup,111 mg,GlaxoSmithKline plc,Fungus,Over-the-Counter
Dextronazole,Antiseptic,Cream,150 mg,Amgen Inc.,Diabetes,Over-the-Counter
Amoxiprofen,Antibiotic,Capsule,297 mg,Pfizer Inc.,Infection,Over-the-Counter
Dolomycin,Antiviral,Injection,938 mg,Amgen Inc.,Pain,Prescription
Amoxistatin,Antidepressant,Inhaler,6 mg,Bayer AG,Fungus,Prescription
Dextroprofen,Antipyretic,Tablet,289 mg,Novo Nordisk A/S,Wound,Prescription
Claricillin,Antibiotic,Injection,617 mg,Takeda Pharmaceutical Company Limited,Infection,Prescription
Dolomycin,Antidiabetic,Cream,704 mg,Sanofi S.A.,Wound,Over-the-Counter
Dextrovir,Antiseptic,Ointment,108 mg,CSL Limited,Fever,Prescription
Dextroprofen,Antipyretic,Cream,463 mg,Roche Holding AG,Fungus,Over-the-Counter
Ibuproprofen,Antidiabetic,Syrup,272 mg,"Gilead Sciences, Inc.",Wound,Over-the-Counter
Acetovir,Antifungal,Capsule,199 mg,AbbVie Inc.,Wound,Over-the-Counter
Dextroprofen,Antidiabetic,Cream,801 mg,Bristol-Myers Squibb Company,Diabetes,Over-the-Counter
Cefstatin,Antiviral,Cream,759 mg,Bristol-Myers Squibb Company,Depression,Prescription
Dextrostatin,Antipyretic,Capsule,661 mg,Boehringer Ingelheim GmbH,Fungus,Prescription
Cefmet,Antibiotic,Ointment,404 mg,Novartis AG,Infection,Over-the-Counter
Claristatin,Antipyretic,Syrup,178 mg,Novartis AG,Virus,Over-the-Counter
Ibupromycin,Antiseptic,Injection,279 mg,AbbVie Inc.,Diabetes,Over-the-Counter
Amoximycin,Analgesic,Cream,762 mg,Sanofi S.A.,Virus,Prescription
Dolovir,Antiviral,Injection,607 mg,AbbVie Inc.,Depression,Prescription
Metocillin,Antidiabetic,Ointment,717 mg,Roche Holding AG,Infection,Over-the-Counter
Amoxinazole,Antiviral,Ointment,369 mg,Bayer AG,Depression,Prescription
Acetovir,Antidepressant,Inhaler,665 mg,AstraZeneca plc,Diabetes,Prescription
Acetonazole,Antiviral,Syrup,897 mg,"Merck & Co., Inc.",Pain,Over-the-Counter
Clarivir,Antipyretic,Tablet,444 mg,Boehringer Ingelheim GmbH,Diabetes,Prescription
Metostatin,Antiseptic,Ointment,975 mg,AstraZeneca plc,Virus,Prescription
Clarimet,Antibiotic,Inhaler,833 mg,Bristol-Myers Squibb Company,Fungus,Prescription
Metocillin,Antiseptic,Injection,876 mg,Novo Nordisk A/S,Pain,Over-the-Counter
Claricillin,Antibiotic,Ointment,676 mg,Sanofi S.A.,Infection,Prescription
Ibupromycin,Antidepressant,Inhaler,85 mg,Boehringer Ingelheim GmbH,Depression,Over-the-Counter
Dolophen,Antipyretic,Injection,979 mg,Johnson & Johnson,Infection,Prescription
Ibuproprofen,Antibiotic,Syrup,254 mg,Novo Nordisk A/S,Diabetes,Prescription
Amoxiphen,Antidepressant,Capsule,789 mg,Novartis AG,Infection,Over-the-Counter
Metomet,Antidepressant,Syrup,172 mg,"Gilead Sciences, Inc.",Fever,Over-the-Counter
Ibuprophen,Antiviral,Inhaler,30 mg,Novo Nordisk A/S,Pain,Prescription
Dolovir,Antibiotic,Tablet,902 mg,Amgen Inc.,Diabetes,Over-the-Counter
Claricillin,Antifungal,Injection,16 mg,Novo Nordisk A/S,Pain,Over-the-Counter
Claricillin,Antiviral,Ointment,777 mg,Takeda Pharmaceutical Company Limited,Wound,Prescription
Dolomycin,Antidepressant,Capsule,820 mg,GlaxoSmithKline plc,Fungus,Over-the-Counter
Amoximet,Antiviral,Capsule,900 mg,Novo Nordisk A/S,Pain,Prescription
Dextronazole,Analgesic,Tablet,520 mg,CSL Limited,Depression,Prescription
Dolocillin,Antifungal,Cream,24 mg,Johnson & Johnson,Pain,Prescription
Metophen,Antifungal,Ointment,342 mg,Bristol-Myers Squibb Company,Infection,Prescription
Dextroprofen,Antidiabetic,Capsule,238 mg,Sanofi S.A.,Fungus,Over-the-Counter
Acetocillin,Antiviral,Capsule,735 mg,Sanofi S.A.,Diabetes,Over-the-Counter
Cefmet,Antiseptic,Tablet,168 mg,Bristol-Myers Squibb Company,Wound,Prescription
Metoprofen,Antifungal,Capsule,947 mg,Johnson & Johnson,Pain,Prescription
Acetoprofen,Antibiotic,Injection,592 mg,AstraZeneca plc,Diabetes,Over-the-Counter
Cefnazole,Antibiotic,Drops,613 mg,Teva Pharmaceutical Industries Ltd.,Diabetes,Over-the-Counter
Metophen,Antidepressant,Syrup,263 mg,Boehringer Ingelheim GmbH,Pain,Prescription
Claristatin,Analgesic,Ointment,757 mg,Johnson & Johnson,Pain,Over-the-Counter
Clarinazole,Antiviral,Ointment,29 mg,AstraZeneca plc,Wound,Prescription
Clarinazole,Antiviral,Tablet,49 mg,GlaxoSmithKline plc,Fungus,Over-the-Counter
Amoxistatin,Antiseptic,Ointment,936 mg,Amgen Inc.,Virus,Prescription
Acetocillin,Antidepressant,Tablet,451 mg,Bristol-Myers Squibb Company,Fungus,Prescription
Dextronazole,Antifungal,Injection,286 mg,GlaxoSmithKline plc,Diabetes,Over-the-Counter
Clarimet,Antifungal,Capsule,898 mg,AstraZeneca plc,Wound,Over-the-Counter
Ibupromycin,Antidepressant,Inhaler,798 mg,"Merck & Co., Inc.",Pain,Prescription
Cefprofen,Analgesic,Ointment,285 mg,Biogen Inc.,Infection,Prescription
Clarinazole,Analgesic,Capsule,639 mg,Eli Lilly and Company,Wound,Over-the-Counter
Ibuprostatin,Antidepressant,Drops,813 mg,Takeda Pharmaceutical Company Limited,Depression,Prescription
Cefphen,Antipyretic,Cream,560 mg,Teva Pharmaceutical Industries Ltd.,Depression,Prescription
Acetovir,Antidepressant,Drops,581 mg,Novartis AG,Virus,Prescription
Amoxivir,Antibiotic,Capsule,635 mg,Boehringer Ingelheim GmbH,Pain,Prescription
Dolomycin,Analgesic,Ointment,524 mg,Amgen Inc.,Wound,Prescription
Dolocillin,Antidepressant,Tablet,618 mg,Johnson & Johnson,Fungus,Prescription
Dextromet,Antibiotic,Capsule,673 mg,AstraZeneca plc,Wound,Over-the-Counter
Amoxiphen,Antidepressant,Syrup,48 mg,Takeda Pharmaceutical Company Limited,Fever,Over-the-Counter
Cefmet,Antiviral,Capsule,206 mg,Amgen Inc.,Virus,Over-the-Counter
Acetovir,Analgesic,Injection,682 mg,CSL Limited,Virus,Prescription
Acetomycin,Antipyretic,Cream,298 mg,Sanofi S.A.,Virus,Over-the-Counter
Dextrocillin,Antiviral,Drops,80 mg,Biogen Inc.,Infection,Over-the-Counter
Acetonazole,Antifungal,Ointment,120 mg,Roche Holding AG,Fever,Prescription
Claristatin,Antipyretic,Inhaler,368 mg,"Gilead Sciences, Inc.",Infection,Prescription
Metoprofen,Antidiabetic,Capsule,652 mg,Takeda Pharmaceutical Company Limited,Fever,Over-the-Counter
Metocillin,Antidiabetic,Drops,570 mg,Eli Lilly and Company,Depression,Prescription
Acetomycin,Antidiabetic,Tablet,69 mg,Johnson & Johnson,Virus,Prescription
Acetonazole,Antidiabetic,Ointment,804 mg,Novo Nordisk A/S,Pain,Prescription
Ibuprovir,Antidepressant,Capsule,648 mg,GlaxoSmithKline plc,Infection,Prescription
Cefvir,Antiviral,Drops,907 mg,Novo Nordisk A/S,Diabetes,Prescription
Amoxiprofen,Antidepressant,Ointment,190 mg,Takeda Pharmaceutical Company Limited,Diabetes,Over-the-Counter
Dextronazole,Antiviral,Syrup,958 mg,AstraZeneca plc,Infection,Prescription
Dolovir,Antidepressant,Injection,528 mg,AbbVie Inc.,Fever,Over-the-Counter
Ibupromycin,Antipyretic,Capsule,66 mg,Boehringer Ingelheim GmbH,Depression,Over-the-Counter
Clarinazole,Antipyretic,Ointment,454 mg,"Gilead Sciences, Inc.",Depression,Prescription
Cefstatin,Antibiotic,Tablet,729 mg,Sanofi S.A.,Infection,Prescription
Metonazole,Antiseptic,Drops,431 mg,Sanofi S.A.,Fungus,Over-the-Counter
Acetophen,Analgesic,Drops,279 mg,Bristol-Myers Squibb Company,Infection,Prescription
Ibupromycin,Antifungal,Capsule,538 mg,CSL Limited,Wound,Over-the-Counter
Dolomet,Antidepressant,Syrup,413 mg,Bristol-Myers Squibb Company,Pain,Prescription
Ibuprovir,Antibiotic,Tablet,477 mg,CSL Limited,Virus,Over-the-Counter
Dextrovir,Antiviral,Drops,534 mg,Biogen Inc.,Wound,Prescription
Cefprofen,Antidepressant,Drops,850 mg,Bayer AG,Depression,Prescription
Ibuprocillin,Analgesic,Capsule,47 mg,Novo Nordisk A/S,Virus,Over-the-Counter
Metostatin,Antiseptic,Cream,604 mg,AstraZeneca plc,Virus,Prescription
Dolovir,Antiseptic,Tablet,861 mg,Novartis AG,Pain,Prescription
Cefcillin,Antidepressant,Ointment,232 mg,Novartis AG,Diabetes,Prescription
Cefnazole,Antifungal,Syrup,568 mg,Bayer AG,Fungus,Over-the-Counter
Metomet,Antipyretic,Syrup,654 mg,AbbVie Inc.,Depression,Prescription
Metoprofen,Antidepressant,Inhaler,494 mg,Johnson & Johnson,Diabetes,Over-the-Counter
Metomet,Analgesic,Syrup,399 mg,Teva Pharmaceutical Industries Ltd.,Fungus,Over-the-Counter
Clarimet,Antiviral,Tablet,62 mg,Novo Nordisk A/S,Infection,Over-the-Counter
Metomycin,Antifungal,Capsule,214 mg,Teva Pharmaceutical Industries Ltd.,Diabetes,Over-the-Counter
Dolomycin,Antibiotic,Ointment,707 mg,Amgen Inc.,Fungus,Over-the-Counter
Acetocillin,Antibiotic,Capsule,911 mg,Boehringer Ingelheim GmbH,Fever,Prescription
Ibupronazole,Analgesic,Tablet,87 mg,Takeda Pharmaceutical Company Limited,Wound,Over-the-Counter
Ibupromet,Antiseptic,Cream,863 mg,Johnson & Johnson,Diabetes,Prescription
Dextronazole,Antifungal,Injection,775 mg,Novartis AG,Diabetes,Prescription
Ibuprocillin,Antifungal,Cream,805 mg,Teva Pharmaceutical Industries Ltd.,Diabetes,Over-the-Counter
Clarinazole,Antibiotic,Drops,946 mg,Teva Pharmaceutical Industries Ltd.,Wound,Prescription
Clarivir,Analgesic,Capsule,696 mg,Johnson & Johnson,Pain,Prescription
Metovir,Antidepressant,Drops,910 mg,Roche Holding AG,Diabetes,Over-the-Counter
Acetovir,Antiseptic,Capsule,22 mg,Boehringer Ingelheim GmbH,Depression,Over-the-Counter
Amoximet,Antidiabetic,Drops,518 mg,Johnson & Johnson,Virus,Over-the-Counter
